system,s_target,s_achieved,theta,query,passing_edges,expected_rows,run_id,is_warmup,total_ms,onehop_ms,mwj_ms,output_rows,rows_match
nebuladb,0.001,0.0009997351499356581,416225565,aml_2hop_sel_0p001.sql,5077,2404,1,0,42621.617,339.131,42282.486,2404,1
nebuladb,0.01,0.010000108303000289,13524530,aml_2hop_sel_0p010.sql,50784,82596,1,0,43465.057,339.131,43125.926,82596,1
nebuladb,0.05,0.049998769284087634,623757,aml_2hop_sel_0p050.sql,253911,753013,1,0,46900.766,339.131,46561.635,753013,1
nebuladb,0.1,0.10000009845727299,137275,aml_2hop_sel_0p100.sql,507835,2478413,1,0,59704.391,339.131,59365.26,2478413,1
nebuladb,0.25,0.24999384642043815,12298,aml_2hop_sel_0p250.sql,1269555,12272345,1,0,130343.01000000001,339.131,130003.87900000002,12272345,1
nebuladb,0.5,0.4999118807406744,1415,aml_2hop_sel_0p500.sql,2538725,39282354,1,0,343721.116,339.131,343381.985,39282354,1
nebuladb,1.0,1.0,,aml_2hop_sel_1p000.sql,5078345,355144984,1,0,,339.131,,OOM,
obliviator_chained,1.0,1.0,,aml_2hop_sel_1p000.sql,5078345,355144984,1,0,1173055.6269999999,,,355144984,
full_mwj_no_filter,1.0,1.0,,aml_2hop_sel_1p000.sql,5078345,355144984,1,0,,,,OOM,
