system,dataset,hub_fraction,query,accounts,edges,unfiltered_2hop_rows,filtered_2hop_rows,n_runs,median_ms,min_ms,max_ms,stddev_ms,output_rows,rows_match
full_mwj_no_filter,high,0.35,banking_2hop,2000000,10000000,720806166,1963,0,,,,,OOM,
full_mwj_no_filter,low,0.1,banking_2hop,2000000,10000000,103714693,496,1,2628684.5360000003,2628684.5360000003,2628684.5360000003,0.0,103714693,1
full_mwj_no_filter,medium,0.2,banking_2hop,2000000,10000000,242493946,1137,0,,,,,OOM,
full_mwj_no_filter,uniform,0.0,banking_2hop,2000000,10000000,47227107,17,1,1232563.654,1232563.654,1232563.654,0.0,47227107,1
nebuladb,high,0.35,banking_2hop,2000000,10000000,720806166,1963,1,91224.84,91224.84,91224.84,0.0,1963,1
nebuladb,low,0.1,banking_2hop,2000000,10000000,103714693,496,1,90817.61,90817.61,90817.61,0.0,496,1
nebuladb,medium,0.2,banking_2hop,2000000,10000000,242493946,1137,1,92005.788,92005.788,92005.788,0.0,1137,1
nebuladb,uniform,0.0,banking_2hop,2000000,10000000,47227107,17,1,91755.097,91755.097,91755.097,0.0,17,1
obliviator_chained,high,0.35,banking_2hop,2000000,10000000,720806166,1963,0,,,,,OOM,
obliviator_chained,low,0.1,banking_2hop,2000000,10000000,103714693,496,0,,,,,TIMEOUT,
obliviator_chained,medium,0.2,banking_2hop,2000000,10000000,242493946,1137,0,,,,,TIMEOUT,
obliviator_chained,uniform,0.0,banking_2hop,2000000,10000000,47227107,17,1,146531.89800000002,146531.89800000002,146531.89800000002,0.0,47227107,1
